question,question_type,answer_option1,explanation1,answer_option2,explanation2,answer_option3,explanation3,answer_option4,explanation4,answer_option5,explanation5,answer_option6,explanation6,correct_answers,overall_explanation,domain
あるチームがAzure上にストレージアカウントを設定しました。このストレージアカウントには次のオブジェクトも存在しています：<img src='https://img-c.udemycdn.com/redactor/raw/practice_test_question/2024-05-07_08-33-54-b6dcc3440c4d1f7c1f95783c52764c17.png'>現在、Sample.txtファイルは...........に保存されています。（空欄に記入してください）,multiple-choice,最高のストレージコスト,Sample.txtファイルを最高のストレージコストで保存することはコスト効果が低く、チームに不必要な費用をもたらすことになります。Azureはさまざまなストレージティアを提供しており、実際のストレージニーズを考慮せずに最高コストのティアを選択すると、無駄な支出につながります。,最低のストレージコスト,Sample.txtファイルを最低のストレージコストで保存することは、チームにとって最もコスト効果の高い選択肢となります。最も低いコストのストレージティアを選ぶことで、チームはファイルのストレージ要件を満たしながら、ストレージ費用を効率的に管理することができます。,最低のデータ取得コスト,Sample.txtファイルを最低のデータ取得コストで保存することは、ストレージアカウントの設定とは直接関係ありません。データ取得コストは通常、ストレージアカウントからデータをアクセスしたり転送したりする際に関連するものであり、データ自体の保存コストには影響しません。したがって、データ取得コストはファイルがストレージアカウント内でどこに保存されるかに影響を及ぼしません。,プレミアムストレージコスト,Sample.txtファイルをプレミアムストレージコストで保存することは、チームにとって高い費用がかかる結果となります。プレミアムストレージティアは追加機能やパフォーマンス能力を提供しますが、標準ストレージティアと比較して高価です。チームが特にファイルに対してプレミアム機能を必要としない限り、プレミアムストレージコストで保存する必要はありません。,,,,,2,,データストレージソリューションの設計 (20–25%)
あなたの会社のために「GetCloudSkillsDB」という名前のAzure SQLデータベースを設定する必要があります。このデータベースは、以下の特定のセキュリティ要件を満たさなければなりません：<ul><li>ITヘルプデスクのスーパーバイザーが「customers」というテーブルをクエリする際、完全なクレジットカード番号を見ることができる必要があります。</li><li>ITヘルプデスクのオペレーターが同じ「customers」テーブルをクエリする際、各クレジットカード番号の最後の4桁のみを見ることができるべきです。</li><li>「customers」テーブルの「Credit Card rating」という列は、データベースシステム内で平文として表示されてはならない。</li></ul>「Credit Card rating」列のセキュリティ要件を満たすために実装できるオプションは次のうちどれですか？,multiple-choice,Always Encrypted,Always Encryptedは、クレジットカード番号などの機密データをクライアント側で暗号化し、データベースシステムが平文データを表示できないようにする機能です。クレジットカード番号の暗号化には役立ちますが、特定のユーザーに対して最後の4桁のみを表示するという要件には特化していません。,Defender for Endpoint,Defender for Endpointは、エンドポイントをサイバー脅威から保護するためのセキュリティソリューションです。Azure SQLデータベース内のデータ保護とは直接関係がないため、「customers」テーブルの「Credit Card rating」列をマスクする特定の要件には対処していません。,Transparent Data Encryption,Transparent Data Encryption (TDE)は、データベースファイルを暗号化することによって、データを保護します。データベース全体に対する暗号化を提供しますが、「customers」テーブルの「Credit Card rating」列のような特定の列を選択的にマスクする機能はありません。,Dynamic Data Masking,Dynamic Data Maskingは、Azure SQL Databaseの機能で、特定の列に対するマスキングルールを定義し、機密データの露出を制御することができます。これを使用して、ITヘルプデスクのスーパーバイザーには完全なクレジットカード番号を表示し、オペレーターには最後の4桁のみを表示することができ、「Credit Card rating」列の特定のセキュリティ要件を満たすことができます。,,,,,4,,データストレージソリューションの設計（20〜25％）
ある会社が、Azure Blob ストレージにアプリケーションのウェブアクセスログを保存しています。月末には、ログデータを自動的に Azure SQL データベースに送信してレポートを生成する必要があります。この要件に対してどのような解決策を提案しますか？,multiple-choice,Azure Data Factory,Azure Data Factory は、この要件に対する正しい解決策です。これはクラウドベースのデータ統合サービスであり、データの移動や変換のためのデータ駆動型ワークフローを作成することができます。月末にログデータをレポート生成のために Azure Blob ストレージから Azure SQL データベースへ簡単に転送できます。,データ移行アシスタント,データ移行アシスタントは、この要件に最も適したソリューションではありません。これは主にオンプレミスの SQL Server の新しいバージョンへの互換性の評価に使用されます。Azure Blob ストレージから Azure SQL データベースにログデータを自動的に転送するための必要な機能を提供しません。,Microsoft SQL Server 移行アシスタント (SSMA),Microsoft SQL Server 移行アシスタント (SSMA) は、オンプレミスの SQL Server データベースを Azure SQL データベースに移行するためのツールです。月次で Azure Blob ストレージから Azure SQL データベースにログデータを自動的に転送するための適切なツールではありません。,AzCopy,AzCopy は、データを Azure Blob ストレージへおよび Azure Blob ストレージからコピーするためのコマンドラインユーティリティです。ログデータを Azure Blob ストレージから Azure SQL データベースへ転送するために使用できますが、月末にこのプロセスをスケジュールし自動化するために必要な自動化およびオーケストレーション機能を提供しません。この要件には Azure Data Factory がより適しています。,,,,,1,,ビジネス継続ソリューションの設計 (15–20%)
あなたの組織は、Azureサブスクリプション内に以下の仮想マシンを provision しました：<img src='https://img-c.udemycdn.com/redactor/raw/practice_test_question/2024-05-07_08-56-20-cea3fdd7fdfada2415e1e6992b92f1af.png'>リカバリーサービスボールトが米国東部ゾーンに設定され、VM1とVM2を保護しています。さらに、Azure Recovery ServicesがVM3とVM4を保護することを確実にする必要があります。これを達成するために、どのステップを踏む必要がありますか？,multiple-choice,新しいリカバリーサービスポリシーを作成する。,新しいリカバリーサービスポリシーを作成することは、Azure Recovery ServicesでVM3とVM4を保護するための正しいステップではありません。リカバリーサービスポリシーはリソースのバックアップ設定を定義しますが、Azure Recovery ServicesでVMを保護するために必要な初期ステップではありません。,新しいバックアップポリシーを作成する。,新しいバックアップポリシーを作成することは、Azure Recovery ServicesでVM3とVM4を保護するための正しいステップではありません。バックアップポリシーはバックアップのスケジュールと保持設定を定義しますが、Azure Recovery ServicesでVMを保護するために必要な初期ステップではありません。,新しいサブスクリプションを作成する。,新しいサブスクリプションを作成することは、Azure Recovery ServicesでVM3とVM4を保護するための正しいステップではありません。Azureのサブスクリプションは請求管理やアクセス制御を管理するために使用され、新しいサブスクリプションを作成する必要はありません。,新しいRecovery Servicesボールトを作成する。,新しいRecovery Servicesボールトを作成することが、Azure Recovery ServicesでVM3とVM4を保護するための正しいステップです。Recovery Servicesボールトは、バックアップデータを保存し、Azureリソース（仮想マシンを含む）のバックアップとリカバリー操作を管理するために使用されます。新しいボールトを作成することで、VM3とVM4を効果的に保護するためにAzure Recovery Servicesを構成できます。ボールトはデータソースと同じ地域に存在する必要があります。,,,,,4,,ビジネス継続ソリューションの設計 (15–20%)
あなたは、サブスクリプションの下に複数のストレージアカウントを定義しています。<img src='https://img-c.udemycdn.com/redactor/raw/practice_test_question/2024-05-07_09-07-28-4e830d4ab4baf3a320136e9665a8c4df.png'>Store3をGRSアカウントに変換できますか？,multiple-choice,はい,はい、Store3をGRS（ジオ冗長ストレージ）アカウントに変換することができます。GRSはデータを二次地域に複製し、地域的な障害が発生した場合でもデータの耐久性と高い可用性を提供します。このオプションは、データの冗長性と災害復旧機能を必要とするアプリケーションに適しています。,いいえ,この記述は不正確です。Store3をGRS（ジオ冗長ストレージ）アカウントに変換することができ、これはデータを二次地域に複製することによって追加のデータ冗長性と災害復旧機能を提供します。このオプションは、重要なアプリケーションのデータの耐久性と可用性を向上させます。,,,,,,,,,1,,ビジネス継続性ソリューションの設計（15–20%）
ある企業がAzureでストレージアカウントを作成し、次のストレージ要件を満たす必要があります：<ul><li>管理者が誤って削除されたすべてのBLOBデータを復元できるようにする。</li><li>削除が発生した後、最大14日間データを復元できる能力を提供する。</li></ul>これらの要件を満たすために使用できるAzureストレージの機能は何ですか？,multiple-choice,CORS,CORS（Cross-Origin Resource Sharing）は、Webページ上の制限されたリソースを、リソースが元々発生したドメインの外の別のドメインから要求できるようにするメカニズムです。Azureストレージにおけるデータ復元や削除とは関連がありません。,静的Webサイト,Azureストレージにおける静的Webサイトホスティングは、HTML、CSS、JavaScriptファイルなどの静的コンテンツをホストできるようにします。データ復元や削除とは関連がありません。,Azure CDN,Azure CDN（Content Delivery Network）は、地理的位置に基づいてユーザーにWebコンテンツを提供する分散型サーバーネットワークです。データ復元や削除とは関連がありません。,ソフトデリート,ソフトデリートは、Azureストレージにおける機能で、管理者が誤って削除されたBLOBデータを復元できるようにします。削除が発生した後、最大14日間のデータ復元を提供し、このシナリオのデータ復元の要件を満たします。,,,,,4,,業務継続ソリューションの設計 (15–20%)
次の詳細に従って、可用性セットを作成します：<img src='https://img-c.udemycdn.com/redactor/raw/practice_test_question/2024-05-07_09-28-53-64ba70edf1c1575a86dcbc262c8936fb.png'>合計で10台の仮想マシンが可用性セットにデプロイされます。計画的なメンテナンス中、利用可能な最小の仮想マシンの数は何台ですか？,multiple-choice,4,,5,,6,10台のVMを3つの更新ドメインに分けると、メンテナンス中に稼働しているVMは最小で6台になります。,8,,,,,,3,,ビジネス継続ソリューションの設計 (15–20%)
ある会社は、Windows Server 2019を運用するオンプレミスのファイルサーバーを保有しており、Windows Admin Centerを通じて管理しています。会社はまた、Azureのサブスクリプションも所有しています。ファイルサーバーが故障した場合のデータ損失を防ぐために、Azure内にソリューションが必要です。それを実現するために、Windows Admin CenterをAzureに登録し、Azure Backupを構成することを計画しています。このソリューションは会社の要件を満たすでしょうか？,multiple-choice,はい,はい、Windows Admin CenterをAzureに登録し、Azure Backupを構成することは、ファイルサーバーが故障した場合のデータ損失を防ぐという会社の要件を満たします。Azure Backupは、オンプレミスサーバーからAzureへのデータバックアップのための信頼性が高く安全な方法を提供し、データが保護され故障時に容易に復元可能であることを確保します。Windows Admin CenterをAzureに登録することで、会社はバックアッププロセスを中央で管理・監視することができ、データ保護のための包括的なソリューションとなります。,いいえ,,,,,,,,,,1,<a href='https://learn.microsoft.com/en-us/windows-server/manage/windows-admin-center/azure/azure-backup'>Windows Admin CenterからAzure BackupでWindowsサーバーをバックアップする | Microsoft Learn</a><a href='https://learn.microsoft.com/en-us/azure/backup/backup-architecture#architecture-direct-backup-of-on-premises-windows-server-machines-or-azure-vm-files-or-folders'>アーキテクチャ概要 - Azure Backup | Microsoft Learn</a><a href='https://learn.microsoft.com/en-us/azure/backup/backup-windows-with-mars-agent'>MARSエージェントを使用したWindowsマシンのバックアップ - Azure Backup | Microsoft Learn</a>,ビジネス継続ソリューションの設計（15〜20％）
リソースグループ内の仮想マシンの設定が変更された際に管理者に通知するタスクを完了するために、Azure Logic Appを実装する必要があります。Logic Apps Designerで、どの3つのコンポーネントを作成しますか？,multi-select,条件制御,Logic Apps Designerの条件制御を使用すると、特定のアクションを実行すべきかどうかを決定する条件を定義できます。このシナリオでは、仮想マシンの設定が変更されたかどうかを確認するために、通知を管理者にトリガーする前に条件制御を使用できます。,アクション,Logic Apps Designerのアクションは、logic appワークフローの一部として実行したい特定のタスクや操作を表します。この場合、条件（仮想マシンの設定変更）が満たされたときに、管理者に通知を送信するアクションを作成します。,変数,Logic Apps Designerの変数は、logic appワークフロー内でデータを保存および操作するために使用されます。変数は一時的なデータや操作の結果を保存するのに便利ですが、仮想マシンの設定が変更されたときに管理者に通知するタスクを実装するために不可欠なコンポーネントではありません。,Azureディスクストレージ,Azureディスクストレージは、仮想マシンの設定が変更された際に管理者に通知するタスクの実装に直接関与するコンポーネントではありません。Azureディスクストレージは通常、データやファイルを保存するために使用され、この特定のシナリオのlogic appワークフローには関連しません。,Azure Event Gridトリガー,Azure Event Gridトリガーは、Azureサービス内で発生するイベントを監視して応答するために使用できるコンポーネントです。この場合、仮想マシンの設定の変更を検出し、管理者に通知するためにlogic appワークフローをトリガーするAzure Event Gridトリガーを作成します。,Azure Service Busトリガー,Azure Service Busトリガーは、仮想マシンの設定が変更された際に管理者に通知するタスクには必要ありません。Azure Service Busは通常、アプリケーションとサービス間での信頼性のあるメッセージキューイングに使用され、仮想マシンなどのAzureリソースの変更を監視および応答することには直接関係しません。,"2,1,5",,インフラソリューションの設計 (30–35%)
次の仮想ネットワークが現在、あなたの組織内に確立されています：<img src='https://img-c.udemycdn.com/redactor/raw/practice_test_question/2024-05-07_09-46-07-e623cd6824ff3bdff454e4a37590be47.png'>あなたは、アドレススペースが10.2.0.0/16の別のネットワークとのピアリング接続を確立する必要があります。このピアリング接続を構成するために最初に取るべきステップは何ですか？,multiple-choice,別のネットワーク用のサービスエンドポイントを構成する。,別のネットワークとのピアリング接続を確立する最初のステップは、サービスエンドポイントを構成することではありません。サービスエンドポイントは、Azureサービスリソースをあなたの仮想ネットワークに安全に接続するために使用されるもので、外部ネットワークとのピアリング接続を確立するためのものではありません。,別のネットワーク用のサービスエンドポイントを構成する。,別のネットワークとのピアリング接続を確立する最初のステップは、サービスエンドポイントを構成することではありません。サービスエンドポイントは、Azureサービスリソースをあなたの仮想ネットワークに安全に接続するために使用されるもので、外部ネットワークとのピアリング接続を確立するためのものではありません。,画像に示されているネットワーク用のサブネットを作成する。,画像に示されているネットワーク用のサブネットを作成するのは、別のネットワークとのピアリング接続を構成する最初のステップではありません。サブネットは、仮想ネットワーク内のリソースを整理しセグメント化するために使用されますが、外部ネットワークとのピアリング接続を確立することには直接関係ありません。,画像に示されているネットワークのアドレススペースを変更する。,画像に示されているネットワークのアドレススペースを変更することが、別のネットワークとのピアリング接続を構成するために最初に取るべきステップです。アドレススペースを変更することで、2つのネットワーク間のIP範囲が重複しないようにすることができ、成功するピアリング接続には不可欠です。,,,,,4,,インフラストラクチャソリューションの設計 (30～35%)
あなたの会社は、異なるリージョンに2つのAzure仮想マシンを展開しました。各仮想マシンには、ネットワークインターフェイスに公開IPアドレスが割り当てられています。両方の仮想マシンにはアプリケーションがインストールされています。Azure Front Doorを使用して仮想マシン間の負荷分散を実装する必要があります。また、仮想マシンのアプリケーションがAzure Front Doorからルーティングされたトラフィックのみを受け入れるようにする必要があります。この要件を達成する方法は何ですか？,multiple-choice,Azure Private Link,Azure Private Linkは、Azure PaaSサービスを仮想ネットワークに安全に接続するために使用されます。これは、Azure Front Doorを使用して仮想マシン間の負荷分散を実装したり、トラフィックをAzure Front Doorからのみ受け入れるように制限することには直接関係ありません。,Service Endpoints,Service Endpointsは、Azureサービスリソースを仮想ネットワークに対して保護することを可能にします。これはAzureサービスへのアクセスを保護するのに役立ちますが、Azure Front Doorを使用して仮想マシン間の負荷分散を実装したり、トラフィックをAzure Front Doorからのみ受け入れるように制限するには最も適切な選択肢ではありません。,サービスタグを使用したネットワークセキュリティグループ,サービスタグを使用したネットワークセキュリティグループ（NSG）では、事前定義されたAzureサービスタグに基づいてセキュリティルールを定義できます。サービスタグを使用してNSGを構成することで、トラフィックをAzure Front Doorからのみ来るように制限し、仮想マシン間の負荷分散を実装できます。この選択肢は、質問で提供された要件に合致しています。,アプリケーションセキュリティグループを使用したネットワークセキュリティグループ,アプリケーションセキュリティグループを使用したネットワークセキュリティグループ（NSG）では、アプリケーション特有の基準に基づいてセキュリティルールを定義できます。特定のアプリケーションへのアクセスを確保するのに役立ちますが、Azure Front Doorを使用して仮想マシン間の負荷分散を実装したり、トラフィックをAzure Front Doorからのみ受け入れるように制限するには最も適切な選択肢ではありません。,,,,,3,,インフラストラクチャソリューションの設計（30–35％）
ある企業がWebアプリケーションをAzureに展開する計画を立てており、以下の要件があります：<ul><li>トラフィックはレイヤー7で負荷分散されるべきです。</li><li>WebアプリケーションはSQLインジェクション攻撃から保護されるべきです。</li><li>クッキーに基づくセッションアフィニティが実装されるべきです。</li></ul>これらの要件を満たすために、企業にどのAzureサービスを推薦しますか？,multiple-choice,Azure Load Balancer,Azure Load BalancerはOSIモデルのレイヤー4で動作し、ネットワークトラフィックに基づいた基本的な負荷分散機能を提供します。ただし、レイヤー7での負荷分散やSQLインジェクション攻撃からの保護は提供しません。,Azure Traffic Manager,Azure Traffic ManagerはDNSベースのトラフィック負荷分散機能を持ち、ユーザートラフィックを複数のエンドポイントに分散します。負荷分散には役立ちますが、SQLインジェクション攻撃からの保護やクッキーに基づくセッションアフィニティのサポートはありません。,Azure Application Gateway with WAF,Azure Application Gatewayはレイヤー7の負荷分散機能を持ち、URLパスやホストヘッダーに基づいてトラフィックをルーティングできるため、レイヤー7での負荷分散に適しています。また、SQLインジェクション攻撃から保護するためのWeb Application Firewall (WAF)機能を含み、クッキーに基づくセッションアフィニティをサポートしています。,Azure Network Watcher,Azure Network Watcherはネットワークパフォーマンスやセキュリティに関する洞察を提供する監視・診断サービスです。負荷分散機能やSQLインジェクション攻撃からの保護を提供しないため、指定された要件を満たすには不適切です。,,,,,3,<a href='https://learn.microsoft.com/en-us/azure/application-gateway/overview'>Azure Application Gatewayとは | Microsoft Learn</a><a href='https://learn.microsoft.com/en-us/azure/application-gateway/features#session-affinity'>Azure Application Gatewayの機能 | Microsoft Learn</a>,インフラソリューションの設計 (30–35%)
企業はAPI管理のインスタンスを展開し、APIをDDoS攻撃から保護するためのソリューションを必要としています。どのソリューションを推奨しますか？,multiple-choice,ネットワークセキュリティグループ,ネットワークセキュリティグループは、Azureリソースに対する入出力トラフィックを制御するために使用されます。ネットワークのセキュリティを助けることができますが、APIをDDoS攻撃から保護するために特別に設計されているわけではありません。,レート制限,レート制限は、クライアントが指定された時間枠内にAPIに対して行うリクエストの数を制限するソリューションです。これにより、APIが圧倒されるトラフィックの量を制限することでDDoS攻撃を防ぐのに役立ちます。,クォータ,クォータは、クライアントが特定の期間内にAPIから消費できるリソースの量を制限するために使用されます。クォータはリソース使用量を管理するのに役立ちますが、APIをDDoS攻撃から保護するために特別に設計されているわけではありません。,OAuth2,OAuth2は、サードパーティアプリケーションがHTTPサービスへの限定的なアクセスを取得できるようにする認可フレームワークです。OAuth2はAPIへのアクセスを保護するために重要ですが、APIをDDoS攻撃から保護するための直接的なソリューションではありません。,,,,,2,,インフラストラクチャソリューションの設計（30–35％）
ある企業が、異なるAzureリージョンに位置するいくつかのAzure Kubernetesクラスターに複数のアプリケーションを展開する計画を立てています。彼らは、アプリケーションのコンテナイメージを格納するソリューションが必要であり、更新されたコンテナイメージをすべてのAKSクラスターに自動的にレプリケートできる必要があります。この要件に対してどのような推奨をしますか？,multiple-choice,Azure Container Registry (Standard SKU),Azure Container Registry (Standard SKU) は、複数のAKSクラスター全体でのコンテナイメージの自動レプリケーションに必要な高度な機能を持たない基本的なコンテナレジストリサービスを提供します。この特定の要件には必要な機能を提供していません。,Azure Container Registry (Basic SKU),Azure Container Registry (Basic SKU) は、Premium SKUに比べて機能が制限された基本的なコンテナレジストリサービスを提供します。複数のAKSクラスター全体で更新されたコンテナイメージを自動的にレプリケートするための機能は含まれておらず、この要件には適していません。,Azure Content Delivery Network,Azure Content Delivery Networkは、高可用性と高性能を備えたコンテンツをユーザーに配信するために設計されたサービスです。複数のAKSクラスター間でコンテナイメージを保存およびレプリケートすることを目的としていないため、企業の特定の要件には適合しません。,Azure Container Registry (Premium SKU),Azure Container Registry (Premium SKU) は、ジオレプリケーションなどの高度な機能を提供しており、これにより複数のAzureリージョンにわたってコンテナイメージを自動的にレプリケートできます。これは、異なるAzureリージョンで複数のAKSクラスターにアプリケーションをデプロイする企業の要件に最適な選択です。,,,,,4,,インフラストラクチャソリューションの設計 (30–35%)
あなたの会社には、「GetCloudSkills-RG」というリソースグループを含むAzureサブスクリプションがあります。このリソースグループには一連の仮想マシンがあります。現在、「GetCloudSkillsAdmin」というAzure ADグループは、このリソースグループに対して「Contributor」ロールを持っています。あなたのタスクは、次のセキュリティ対策を実装することです。1. Azure ADグループ「GetCloudSkillsAdmin」のユーザーが仮想マシンに外部IPアドレスを割り当てられないようにすること。2. Azure ADグループ「GetCloudSkillsAdmin」のユーザーが共有外部IPアドレスを介してのみ仮想マシンに接続できるようにすること。最初の要件、すなわち、「GetCloudSkillsAdmin」グループのユーザーが仮想マシンに外部IPアドレスを割り当てることを防ぐソリューションを特定する必要があります。,multiple-choice,Azure Policy,Azure Policyを使用すると、組織の基準やセキュリティ要件に適合するように、Azureリソースに特定のルールや条件を強制できます。仮想マシンへの外部IPアドレスの割り当てを制限するポリシーを作成することで、「GetCloudSkillsAdmin」グループのユーザーがこのアクションを実行することを防ぐことができます。,Azure Bastion,Azure Bastionは、Azureポータルを介して仮想マシンに安全かつシームレスにRDPおよびSSHアクセスを提供するサービスです。これは、VMへのリモートアクセスのセキュリティを強化しますが、仮想マシンへの外部IPアドレスの割り当てを防ぐという特定の要件には対処していません。,Virtual network service endpoints,Virtual Network Service Endpointsは、特定のサブネットからAzureサービスリソースへのアクセスを制限することにより、Azureサービスリソースを保護することができます。この機能はネットワークのセキュリティを強化しますが、仮想マシンに外部IPアドレスを割り当てることを防ぐという要件には直接的には対処していません。,Azure Firewall,Azure Firewallは、Azure Virtual Networkリソースを保護する管理されたクラウドベースのネットワークセキュリティサービスです。高度な脅威保護とネットワークセキュリティ機能を提供しますが、「GetCloudSkillsAdmin」グループのユーザーが仮想マシンに外部IPアドレスを割り当てることを防ぐための具体的なソリューションは提供していません。,,,,,1,,アイデンティティ、ガバナンス、監視ソリューションの設計 (25–30%)
